Id;Nombre;Cuit;Codigo;AdministradorNombre
470;Consorcio abierto test;30715278266;A125;COELSA
471;MC DONALD'S;30610252334;A126;COELSA
472;Fletalo TECH SA;30719432278;A127;COELSA
473;VSN SA;30715249584;A128;COELSA
474;Favacard;30604994779;A129;COELSA
475;GST;30715575066;A130;COELSA
476;LP TRAVEL;20362992258;A131;COELSA
477;EDELAP;30681348359;A132;COELSA
478;Octagon;30716047918;OCTA;COELSA
479;Ligo;30718640659;A133;COELSA
480;RyG GESTIONES;30719086523;A134;COELSA
481;SVM Group Argentina SA;30718823125;A135;COELSA
482;Dinamics Solutions SA;30718935632;A136;COELSA
483;BIND PSP;30717449076;A137;COELSA
484;LA AGRICOLA REGIONAL;33504047089;A138;COELSA
485;CRUCERO DEL NORTE SRL;30626296250;A139;COELSA
486;Mutual Federada;30541592608;A140;COELSA
487;NOVA TRAVEL;30718848586;A141;COELSA
488;Cuyen Turismo;30707089128;A142;COELSA
489;EDESA;30690633635;A143;COELSA
490;BE FUN TRAVEL;30718086686;A144;COELSA
491;BRIAN LUNA;20387661868;A145;COELSA
492;BISATUR;30714732486;A146;COELSA
493;Jugadon Santa Fe;30605979048;A147;COELSA
494;PROVINCIANET;30704950345;A148;COELSA
495;Credicuotas;30710911580;A149;COELSA
496;Nueva Caledonia;30707660755;A150;COELSA
497;ELIT;30651655516;A151;COELSA
498;EDEA;30689977517;A152;COELSA
499;ANDESMAR;30711057737;A153;COELSA
500;YORK VIAJES;30717900789;A154;COELSA
501;PAGO FACIL;30659863789;A155;COELSA
502;HIPODROMO DE PALERMO;30708208058;A156;COELSA
503;EDEN;30693834348;A157;COELSA
504;CREDITIA FIDEICOMISO FINANCIERO;30712137378;A158;COELSA
505;EDES;30693834585;A159;COELSA
506;FUN TRAVEL ARG;30717817261;A160;COELSA
507;GRUPO ROISA;30661931066;A161;COELSA
508;FIDEICOMISO PRIVADO CENFIDE;30717893421;A162;COELSA
509;PRISMA;30685029959;QAPR;COELSA
510;Demo Bind PSP;30717449076;DEMO;COELSA
511;TCARGO;30714466085;A163;COELSA
512;EBANX;30715313886;A164;COELSA
513;NOVAONE;30717449076;A165;COELSA
514;Pedidos Ya;30715190172;A166;COELSA
515;Prisma BIS;20303715755;PIPR;COELSA
516;PAGOS FX;30717449076;PAFX;COELSA
517;PROMETEO;30718596277;A167;COELSA
