Id;Name;Cuit;Codigo;BankId
59;Benajal;30718432185;231;322
60;Ticket QR;33718201069;232;322
61;Bind PSP liquidaciones cta 52;30717449076;210;0
62;Bind PSP liquidaciones cta 36;30717449076;210;322
63;AG Cobranzas;20297547705;233;322
64;Bind PSP liquidaciones cta 58;30717449076;210;322
65;Bind PSP liquidaciones cta 67;30717449076;210;322
66;Consorcio Abierto;30715278266;234;322
67;Wassa SRL;33712055699;235;322
68;Bind PSP liquidaciones cta 71;30717449076;210;322
69;Gimnasios Argentinos;30688979389;236;322
70;We Collabs;30718194756;236;322
71;Jugadon Cordoba;30605979048;230;322
72;Jugadon La Rioja;30605979048;230;322
73;Cucuru YPF;30717688496;238;322
74;Tarjeta Data;30681697965;239;322
75;Colorin Colorado;27243370871;240;322
76;Compara en Casa;30710769873;241;322
77;Desarrollos del Litoral;30709836850;241;322
78;Supertour;33714363749;242;322
79;MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS;30546671301;244;322
80;Freestyle;30713321709;245;322
81;Tienda Nube;30712019359;246;322
82;Cuoma;30709434760;247;322
83;ZONASUR CONECTIVIDAD;33718822349;248;322
84;ZONASUR CONECTIVIDAD;33718822349;249;322
85;KAYZEN S A S;30717195945;250;322
86;Gumball;20292323868;251;322
87;Bind PSP liquidaciones cta 74;30717449076;252;322
88;LUFRAN SA;30680425813;253;322
89;One infinite;30717449076;254;322
90;MARKAB;20200495331;255;322
91;Flecha Turismo;30711027846;256;322
92;Consorcio abierto Test;30715278266;257;322
93;Fletalo Tech;30719432278;258;322
94;Bind PSP liquidaciones cta 69;30717449076;210;322
95;Favacard;30604994779;259;322
96;Ivess;30537882871;260;322
97;Bind PSP liquidaciones cta 105;30717449076;210;322
98;Bind PSP liquidaciones cta 106;30717449076;210;322
99;Bind PSP liquidaciones cta 107;30717449076;210;322
100;Bind PSP liquidaciones cta 110;30717449076;210;322
101;TF04;30717618870;103;322
102;Bind PSP liquidaciones cta 112;30717449076;210;322
103;LP TRAVEL;20362992258;261;322
104;EDELAP;30681348359;262;322
105;Bind PSP liquidaciones cta 77;30717449076;210;322
106;VITA;30717447243;263;322
107;Dinamics Solutions SA;30718935632;264;322
108;Payfi Ligo;30718640659;265;322
109;Bind PSP liquidaciones cta 37;30717449076;210;322
110;Bind PSP liquidaciones cta 39;30717449076;210;322
111;Bind PSP liquidaciones cta 22;30717449076;210;322
112;Bind PSP liquidaciones cta 23;30717449076;210;322
113;Bind PSP liquidaciones cta 24;30717449076;210;322
114;Bind PSP liquidaciones cta 25;30717449076;210;322
115;Bind PSP liquidaciones cta 26;30717449076;210;322
116;Bind PSP liquidaciones cta 27;30717449076;210;322
117;Bind PSP liquidaciones cta 30;30717449076;210;322
118;Bind PSP liquidaciones cta 31;30717449076;210;322
119;Bind PSP liquidaciones cta 33;30717449076;210;322
120;Bind PSP liquidaciones cta 44;30717449076;210;322
121;Bind PSP liquidaciones cta 47;30717449076;210;322
122;Bind PSP liquidaciones cta 48;30717449076;210;322
123;Bind PSP liquidaciones cta 49;30717449076;210;322
124;Bind PSP liquidaciones cta 54;30717449076;210;322
125;Bind PSP liquidaciones cta 57;30717449076;210;322
126;Bind PSP liquidaciones cta 59;30717449076;210;322
127;Bind PSP liquidaciones cta 60;30717449076;210;322
128;Bind PSP liquidaciones cta 61;30717449076;210;322
129;Bind PSP liquidaciones cta 73;30717449076;210;322
130;Colorin Colorado BindPSP;30717449076;266;322
131;Global 66;33717170429;267;322
132;Peak Travel;30718716663;268;322
133;Bind PSP liquidaciones cta 126;30717449076;210;322
134;Bind PSP liquidaciones cta 41;30717449076;210;322
135;NOVA TRAVEL;30718848586;269;322
136;Cuyen Turismo;30707089128;270;322
137;Bind PSP liquidaciones cta 117;30717449076;210;322
138;EDESA;30681348359;271;322
139;BE FUN TRAVEL;30718086686;272;322
140;BRIAN LUNA;20387661868;273;322
141;BISATUR;30714732486;274;322
142;Jugadon Santa Fe;30605979048;275;322
143;Bind PSP liquidaciones cta 137;30717449076;210;322
144;Provincia net;30704950345;276;322
145;Nueva Caledonia;30707660755;277;322
146;ANDESMAR;30711057737;278;322
147;YORK VIAJES;30717900789;279;322
148;Servicio Electronico De Pago SA;30659863789;280;322
149;Pago Nube;30712019359;246;322
150;EDEN;30681348359;281;322
151;EDEA;30681348359;282;322
152;CREDITIA FIDEICOMISO FINANCIERO;30712137378;283;322
153;Bind PSP liquidaciones cta 145;30717449076;210;322
154;FUN TRAVEL ARG;30717817261;284;322
155;GRUPO ROISA;30661931066;285;322
156;FIDEICOMISO PRIVADO CENFIDE;30717893421;286;322
157;EDES;30681348359;287;322
158;Bind PSP liquidaciones cta 83;30717449076;210;322
159;Bind PSP liquidaciones cta 120;30717449076;210;322
160;TCARGO;30714466085;288;322
161;NOVAONE;30717449076;289;322
162;Bind PSP liquidaciones cta 80;30717449076;210;322
163;Bind PSP liquidaciones cta 156;30717449076;210;322
164;Bind PSP liquidaciones cta 127;30717449076;210;322
165;Prometeo;30718596277;290;322
